Fragment Size,Count,Range,Group,BAM File
250,1494,200-500,Normal,H7-plasma.bam
247,1483,200-500,Normal,H7-plasma.bam
246,1471,200-500,Normal,H7-plasma.bam
253,1441,200-500,Normal,H7-plasma.bam
251,1430,200-500,Normal,H7-plasma.bam
252,1403,200-500,Normal,H7-plasma.bam
249,1392,200-500,Normal,H7-plasma.bam
254,1342,200-500,Normal,H7-plasma.bam
248,1294,200-500,Normal,H7-plasma.bam
255,1208,200-500,Normal,H7-plasma.bam
256,1203,200-500,Normal,H7-plasma.bam
257,1128,200-500,Normal,H7-plasma.bam
11800969,171,>1000,Normal,H7-plasma.bam
490235,170,>1000,Normal,H7-plasma.bam
258,165,200-500,Normal,H7-plasma.bam
490279,152,>1000,Normal,H7-plasma.bam
324145,104,>1000,Normal,H7-plasma.bam
324267,99,>1000,Normal,H7-plasma.bam
11491950,97,>1000,Normal,H7-plasma.bam
113258,72,>1000,Normal,H7-plasma.bam
13788,64,>1000,Normal,H7-plasma.bam
2306462,41,>1000,Normal,H7-plasma.bam
2788,30,>1000,Normal,H7-plasma.bam
45144628,30,>1000,Normal,H7-plasma.bam
490278,28,>1000,Normal,H7-plasma.bam
13922,21,>1000,Normal,H7-plasma.bam
4854260,21,>1000,Normal,H7-plasma.bam
53,20,100-200,Normal,H7-plasma.bam
52,19,100-200,Normal,H7-plasma.bam
39,18,100-200,Normal,H7-plasma.bam
1029,18,>1000,Normal,H7-plasma.bam
37,17,100-200,Normal,H7-plasma.bam
1955134,17,>1000,Normal,H7-plasma.bam
1600020,17,>1000,Normal,H7-plasma.bam
47,17,100-200,Normal,H7-plasma.bam
316,17,200-500,Normal,H7-plasma.bam
9187,17,>1000,Normal,H7-plasma.bam
312,17,200-500,Normal,H7-plasma.bam
4955399,16,>1000,Normal,H7-plasma.bam
11800873,16,>1000,Normal,H7-plasma.bam
113257,16,>1000,Normal,H7-plasma.bam
73032,16,>1000,Normal,H7-plasma.bam
11800884,15,>1000,Normal,H7-plasma.bam
4395,15,>1000,Normal,H7-plasma.bam
470,15,200-500,Normal,H7-plasma.bam
891892,15,>1000,Normal,H7-plasma.bam
51,15,100-200,Normal,H7-plasma.bam
11801035,15,>1000,Normal,H7-plasma.bam
42,15,100-200,Normal,H7-plasma.bam
126804,15,>1000,Normal,H7-plasma.bam
308,14,200-500,Normal,H7-plasma.bam
34,14,100-200,Normal,H7-plasma.bam
41,14,100-200,Normal,H7-plasma.bam
